Organization,Organization Description,Country,Organization Employee Count,Funding Total Value USD,Funding Total Currency,Last Funding Type,Categories,Organization Name,Founders,Investors
SetPoint Medical,SetPoint Medical develops novel therapeutics for the treatment of chronic autoimmune conditions.,United States,51-100,"$356,400,000",USD,series_unknown,"Biotechnology, Health Care, Medical, Therapeutics",SetPoint Medical,"Jim Broderick, Kevin Tracey, Shaw Warren","Norwest Venture Partners, New Enterprise Associates, Catalio Capital Management, Boston Scientific, Medtronic"
Cellares,Cellares is a life sciences technology company that develops the Cell Shuttle to automate cell therapy manufacturing.,United States,101-250,"$355,000,000",USD,series_c,"Biotechnology, Life Science, Manufacturing, Medical, Therapeutics",Cellares,"Alex Pesch, Fabian Gerlinghaus, Omar Kurdi","8VC, Eclipse Ventures, DFJ Growth, EcoR1 Capital, Bristol-Myers Squibb"
Valeritas,"Valeritas is the developer of V-GO, a disposable insulin pump, and a micro needle patch for the treatment of Type 2 diabetes.",United States,51-100,"$355,000,000",USD,series_unknown,"Biotechnology, Diabetes, Health Care, Medical Device",Valeritas,Robert R. Gonnelli,"U.S. Venture Partners, Pitango VC, Welsh Carson Anderson & Stowe, Abingworth, MPM Capital"
Karius,"Karius delivers genomic insights into infectious diseases, helping clinicians make critical, life-saving treatment decisions.",United States,101-250,"$354,000,000",USD,series_c,"Biotechnology, Genetics, Health Care, Information Technology, Life Science, Precision Medicine",Karius,"Mickey Kertesz, Steve Quake, Tim Blauwkamp","General Catalyst, Khosla Ventures, Lightspeed Venture Partners, Seventure Partners, Tencent"
Beta Bionics,Beta Bionics is a biotechnology company that provides software to reduce the burden of diabetes care.,United States,251-500,"$353,452,916",USD,series_e,"Biotechnology, Diabetes, Medical Device",Beta Bionics,"Ed Damiano, Sean Saint, Toby Milgrome","Wellington Management, Eli Lilly, Sands Capital Ventures, Novo Nordisk, RTW Investments"
Pionyr Immunotherapeutics,Pionyr Immunotherapeutics is a developer of cancer immunotherapies designed to target the tumor microenvironment.,United States,51-100,"$351,999,999",USD,corporate_round,"Biotechnology, Medical, Pharmaceutical, Therapeutics",Pionyr Immunotherapeutics,"Max Krummel, Sachdev Sidhu","New Enterprise Associates, OrbiMed, SV Health Investors, Gilead Sciences, Mission BioCapital"
RxSight,RxSight is a medical device company that offers an intraocular lens and cataract surgery solutions.,United States,251-500,"$350,975,917",USD,post_ipo_equity,"Biotechnology, Eyewear, Health Care, Medical Device",RxSight,Robert Grubbs,"RA Capital Management, Longitude Capital, Balance Point Capital Partners, Visionary Venture Fund, Oxford Finance LLC"
Center for Breakthrough Medicines,Center for Breakthrough Medicines is an innovative cell and gene therapy focusing on contract development and manufacturing organization.,United States,101-250,"$350,000,000",USD,corporate_round,"Biotechnology, Genetics, Manufacturing, Medical",Center for Breakthrough Medicines,Audrey Greenberg,SK Holdings
Aralez Pharmaceuticals,Aralez Pharmaceuticals is a global specialty pharmaceutical company.,United States,101-250,"$350,000,000",USD,post_ipo_equity,"Alternative Medicine, Biotechnology, Health Care, Medical",Aralez Pharmaceuticals,,"Deerfield, Novelion Therapeutics, Broadfin Capital, JW Asset Management"
Atreca,"Atreca develops a technology to identify the set of antibodies produced during an immune response, without prior knowledge of an antigen.",United States,51-100,"$347,860,000",USD,post_ipo_equity,"Biotechnology, Health Care, Product Research, Therapeutics",Atreca,"Daniel Emerling, Guy Cavet, Jonathan Woo, Paulette Dillon, Tito A Serafini, Wayne Volkmuth, Yann Chong Tan","Wellington Management, Bill & Melinda Gates Foundation, Cormorant Asset Management, Samsara BioCapital, Redmile Group"
Five Prime Therapeutics,FivePrime is a clinical-stage biotechnology company that develops treatments for cancers.,United States,101-250,"$345,040,487",USD,post_ipo_equity,"Biotechnology, Health Care, Medical, Therapeutics",Five Prime Therapeutics,Lewis (Rusty) Williams,"TPG, Kleiner Perkins, Versant Ventures, Wellcome Trust, HealthCap"
Acutus Medical,Acutus Medical develops medical technologies to treat complex cardiac arrhythmia.,United States,51-100,"$343,176,464",USD,post_ipo_debt,"Biotechnology, Health Care, Health Diagnostics, Manufacturing, Medical Device",Acutus Medical,Randy Werneth,"8VC, Index Ventures, OrbiMed, Deerfield, Deerfield Capital Management"
Athenex,Athenex is a biopharmaceutical company that develops and discovers novel therapies for treating cancer and related conditions.,United States,251-500,"$342,149,580",USD,post_ipo_equity,"Biotechnology, Medical, Pharmaceutical",Athenex,"Allen Barnett, David Hangauer","OrbiMed, Perceptive Advisors, Kingdon Capital, Mandra Capital"
JenaValve Technology,JenaValve is a medical device company focused on the design and development of innovative transcatheter heart valve solutions,United States,101-250,"$341,567,865",USD,series_c,"Health Care, Manufacturing, Medical Device",JenaValve Technology,"Hans-Reiner Figulla, Ronald Reich","Cormorant Asset Management, Bain Capital Life Sciences, Legend Capital, VI Partners, Omega Funds"
Capstan Therapeutics,Capstan Therapeutics is advancing cell engineering to develop therapeutics for a broad range of diseases.,United States,101-250,"$340,000,000",USD,series_b,"Biotechnology, Health Care, Therapeutics",Capstan Therapeutics,Haig Aghajanian,"OrbiMed, RA Capital Management, Perceptive Advisors, Polaris Partners, Vida Ventures"
Sonendo,Sonendo is a healthcare company that focuses on developing innovative and disruptive technologies to transform endodontic therapy.,United States,101-250,"$339,749,879",USD,post_ipo_equity,"Biotechnology, Health Care, Medical",Sonendo,Olav Bergheim,"General Atlantic, OrbiMed, Perceptive Advisors, Meritech Capital Partners, Redmile Group"
Y-mAbs Therapeutics,YmAbs is a clinical stage biopharmaceutical company that discovers and develops innovative treatments for cancer patients.,United States,51-100,"$338,800,000",USD,post_ipo_equity,"Biotechnology, Health Care, Medical, Therapeutics",Y-mAbs Therapeutics,Thomas Gad,"Sofinnova Investments, HBM Healthcare Investments, Scopia Capital"
Berkeley Lights,Berkeley Lights is a provider of research and development services using micro-droplet technology that change the biological processes.,United States,101-250,"$337,567,756",USD,debt_financing,"Biopharma, Biotechnology, Genetics, Health Care, Therapeutics",Berkeley Lights,"Bill Davidow, Igor Khandros, Ming C. Wu","Sequoia Capital, Cota Capital, Celesta Capital, Shangbay Capital, Nikon"
CardioDx,CardioDx is a cardiovascular genomic diagnostics company providing clinicians with information to enhance patient care.,United States,51-100,"$337,261,831",USD,series_unknown,"Biotechnology, Genetics, Health Care, Health Diagnostics, Pharmaceutical",CardioDx,David Levison,"TPG, Temasek Holdings, TPG Growth, JP Morgan Chase, Kleiner Perkins"
Exo,Exo is a medical device startup which develops handheld ultrasound devices and AI for imaging and therapeutic applications.,United States,101-250,"$337,032,137",USD,debt_financing,"Health Care, Medical, Medical Device",Exo,"Janusz Bryzek, John Kokulis, Sandeep Akkaraju, Yusuf Haque","BlackRock, RA Capital Management, Sands Capital Ventures, TDK Ventures, Creative Ventures"
BioAtla,"BioAtla develops safer, more effective drugs for cancer using a proprietary next-generation antibody discovery and evolution platform.",United States,51-100,"$335,700,001",USD,post_ipo_equity,"Biotechnology, Health Care, Medical",BioAtla,"Carolyn Short, Jay M. Short","Cormorant Asset Management, Vivo Capital, EcoR1 Capital, Soleus Capital, Deerfield"
Biora Therapeutics,Biora Therapeutics is the biotech company.,United States,51-100,"$333,250,000",USD,post_ipo_equity,"Biotechnology, Health Care, Medical",Biora Therapeutics,"Harry Stylli, Paul W. Hawran","Employee Stock Option Fund, Athyrium Capital Management LP, Savitr Capital"
Avinger,Avinger is a medical device company engaged in developing catheter-based technologies and devices for treating vascular diseases.,United States,51-100,"$333,065,180",USD,post_ipo_equity,"Health Care, Manufacturing, Medical, Medical Device",Avinger,JD Simpson,"CRG, Zylox, Lucas Venture Group, Black Diamond Ventures"
P3 Health Partners,"P3 Health Partners is a patient-centered, physician-led and population health-focused healthcare company.",United States,251-500,"$332,200,000",USD,post_ipo_equity,"Finance, Financial Services, Health Care, Hospital, Medical Device, Venture Capital",P3 Health Partners,Sherif Abdou,"Fidelity, Janus Henderson Investors, Chicago Pacific Founders, Leavitt Partners"
Delfi Diagnostics,"Delfi Diagnostics detects cancer early, when it is most curable, using high precision non-invasive blood tests.",United States,101-250,"$330,500,000",USD,series_b,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Medical",Delfi Diagnostics,"Alessandro Leal, Victor Velculescu","Menlo Ventures, Point72, Eli Lilly, OrbiMed, DFJ Growth"
Sidecar Health,"Sidecar Health's employer plans empower members with transparency, control, and financial incentives to make smart healthcare decisions.",United States,251-500,"$328,000,000",USD,series_d,"FinTech, Health Care, Health Insurance, Insurance, InsurTech",Sidecar Health,"Patrick Quigley, Veronica Osetinsky","Menlo Ventures, Bond, Cathay Innovation, Tiger Global Management, GreatPoint Ventures"
Clarify Health Solutions,Clarify Health Solutions develops an intelligence platform that delivers insights across healthcare.,United States,101-250,"$327,998,000",USD,series_d,"Analytics, Artificial Intelligence (AI), Health Care, Management Information Systems, Medical",Clarify Health Solutions,"Jean Drouin, Todd Gottula","Insight Partners, BlackRock, Spark Capital, SoftBank Vision Fund, Concord Health Partners"
Forward,Forward is a healthcare startup that provides a membership-based health care system.,United States,101-250,"$325,000,000",USD,series_e,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Personal Health, Subscription Service",Forward,"Adrian Aoun, Erik Frey, Ilya Abyzov, Robert Sebastian","Khosla Ventures, Founders Fund, Samsung NEXT, First Round Capital, Tencent"
PhaseBio Pharmaceuticals,"PhaseBio is a clinical-stage biopharmaceutical company that develops drugs for cardiovascular diseases, endocrine, and metabolic disorders.",United States,51-100,"$324,300,000",USD,post_ipo_equity,"Biotechnology, Medical, Medical Device, Pharmaceutical",PhaseBio Pharmaceuticals,"Ashutosh Chilkoti, Clay B. Thorp","New Enterprise Associates, AstraZeneca, Cormorant Asset Management, National Institutes of Health, Hatteras Venture Partners"
Alector,Alector is combining state-of-the-art antibody technology and recent discoveries in neuroimmunology and human genetics to develop novel.,United States,101-250,"$319,500,000",USD,post_ipo_debt,"Biotechnology, Genetics, Health Care, Therapeutics",Alector,"Arnon Rosenthal, Asa Abeliovich, Errik Anderson, Tillman Gerngross","OrbiMed, AbbVie, S32, Perceptive Advisors, Polaris Partners"
"EmendoBio, Inc.",Emendo is a biotechnology company,United States,51-100,"$317,750,000",USD,corporate_round,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","EmendoBio, Inc.","David Baram, Shilo Ben Zeev","OrbiMed, Takeda Ventures, AnGes"
Caribou Biosciences,Caribou Biosciences is a biotechnology company that develops CRISPR technologies and allogenic cell therapies for oncology.,United States,101-250,"$317,699,904",USD,post_ipo_equity,"Biotechnology, Health Care, Oncology, Therapeutics",Caribou Biosciences,"James Berger, Jennifer Doudna, Martin Jinek, Rachel E. Haurwitz","National Science Foundation, AbbVie, Pfizer, Novartis, Maverick Ventures"
Redesign Health,Redesign Health is a global venture builder that empowers founders to launch and scale transformative healthcare companies.,United States,101-250,"$315,000,000",USD,series_c,"Artificial Intelligence (AI), Health Care, Medical, Small and Medium Businesses, Venture Capital",Redesign Health,"Brett Shaheen, Laura Bagnoli, Leann Arkema, Susan Leonelli","General Catalyst, Samsung NEXT, Blisce, Declaration Partners, RiverPark Ventures"
Allakos,"Allakos is a biotechnology company developing therapeutic antibodies targeting allergy, inflammatory and proliferative diseases.",United States,51-100,"$312,449,545",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care, Therapeutics",Allakos,"Christopher Bebbington, Nenad Tomasevic","New Enterprise Associates, Vivo Capital, Samsara BioCapital, Redmile Group, RTW Investments"
Personalis,Personalis is a contract research organization and genome-scale diagnostics services company specializing in genome guided medicine.,United States,251-500,"$311,245,000",USD,post_ipo_equity,"Biotechnology, Genetics, Health Care, Health Diagnostics",Personalis,Atul Butte,"Tempus, Lightspeed Venture Partners, Merck, Abingworth, Stanford University"
CARGO Therapeutics,CARGO Therapeutics develops an adoptive cell therapy to benefit patients from potentially curative treatment options.,United States,101-250,"$310,000,000",USD,post_ipo_equity,"Biotechnology, Medical, Therapeutics",CARGO Therapeutics,"Crystal Mackall, Nancy Goodman, Robbie Majzner","Wellington Management, Cormorant Asset Management, Samsara BioCapital, RTW Investments, Novo Holdings"
Everest Medicines,Everest Medicines is dedicated to its mission of developing and commercializing novel transformative pharmaceutical therapies for patients.,United States,101-250,"$310,000,000",USD,series_c,"Biotechnology, Health Care, Pharmaceutical",Everest Medicines,,"RA Capital Management, Hillhouse Investment, Janus Henderson Investors, Pavilion Capital, Decheng Capital"
NextCure,NextCure is a biopharmaceutical company focused on discovering and developing next generation immuno-oncology-based drugs.,United States,51-100,"$310,000,000",USD,post_ipo_equity,"Biopharma, Biotechnology, Health Care, Oncology",NextCure,Michael Richman,"OrbiMed, Eli Lilly, Pfizer, Hillhouse Investment, Lilly Asia Ventures"
